Referencia;Nome;Categoria;Preco;Imagem;Preco Final;Id Categoria;Ativo
204-6-10;Chapa de Pressão, da Embraiagem, PITBIKE;  Embraiagem ;4,88;https://motoxpert.pt/web/image/product.template/9081/image?unique=fba1b2b;6,0024;31;1
22861/152FMH;Pino da Embraiagem, YX 125-140 / LIFAN 125-140 / PITBIKE;  Embraiagem ;4,87;https://motoxpert.pt/web/image/product.template/7631/image?unique=16bd9b6;5,9901;31;1
NK900.76;Mola Central da Embraiagem (mola de pressão), NARAKU ® +2000RPM, GY6 152QMI;  Molas De Pressão ;14,3;https://motoxpert.pt/web/image/product.template/19033/image?unique=b54fdad;17,589;32;1
P.16.0067.0025;Mola Central da Embraiagem (mola de pressão), 139QMB;  Molas De Pressão ;8,09;https://motoxpert.pt/web/image/product.template/2155/image?unique=880c9cf;9,9507;32;1
P4861;Mola de Embraiagem POLINI +15%, LINHAI 250-260-300;  Molas De Pressão ;16,22;https://motoxpert.pt/web/image/product.template/7059/image?unique=0eb6430;19,9506;32;1
NK900.75;Mola Central da Embraiagem (mola de pressão), NARAKU ® +1500RPM, GY6 152QMI ;  Molas De Pressão ;14,3;https://motoxpert.pt/web/image/product.template/8144/image?unique=d0c8a04;17,589;32;1
NK900.63;Mola Central da Embraiagem (mola de pressão), NARAKU ® +1000RPM Sport V.2, GY6 50 4T / 139QMB / OUTRAS;  Molas De Pressão ;8,09;https://motoxpert.pt/web/image/product.template/9095/image?unique=d0c8a04;9,9507;32;1
PROD11309;Prato de Embraiagem (105mm), Minarelli 1E40QMB;  Pratos De Embraiagem;20,32;https://motoxpert.pt/web/image/product.template/34257/image?unique=f07b976;24,9936;33;1
P.16.0067.0020;Prato da Embriagem (completo), CF188   ;  Pratos De Embraiagem;170,73;https://motoxpert.pt/web/image/product.template/2558/image?unique=569536e;209,9979;33;1
P6366;Prato de Embraiagem (107mm), Piaggio, Peugeot, Kymco, SYM, GY6 139QMB;  Pratos De Embraiagem;24,35;https://motoxpert.pt/web/image/product.template/9293/image?unique=cb88b68;29,9505;33;1
P6349;Caixa Transmissao/Desmultiplic. (Tipo 1), 11T, TOX (SAKER MD04) / MINI DIRT 49;  Pratos De Embraiagem;23,58;https://motoxpert.pt/web/image/product.template/9306/image?unique=3aa781b;29,0034;33;1
P5665;Caixa Transmissao/Desmultiplic. (Tipo A) T8F, 13T, ATV 49;  Pratos De Embraiagem;23,58;https://motoxpert.pt/web/image/product.template/8125/image?unique=32d13d1;29,0034;33;1
P241;Caixa Transmissao/Desmultiplic. (Tipo 1), 11T, TOX (MD01/ GAZELLE MD05) / MINI-DIRT 49;  Pratos De Embraiagem;20,33;https://motoxpert.pt/web/image/product.template/4132/image?unique=31ac43d;25,0059;33;1
P1193;Caixa Transmissao/Desmultiplic. Trotinete;  Pratos De Embraiagem;23,58;https://motoxpert.pt/web/image/product.template/5459/image?unique=d0c8a04;29,0034;33;1
P5848;Prato de embraiagem MALOSSI 135mm, APRILIA, MBK, YAMAHA, LINHAI 250/300;  Pratos De Embraiagem;77,24;https://motoxpert.pt/web/image/product.template/8008/image?unique=f303663;95,0052;33;1
P6365;Prato de Embraiagem (112mm), Cpi, Keeway, Generic, Morini, 1E40QMB;  Pratos De Embraiagem;24,35;https://motoxpert.pt/web/image/product.template/9294/image?unique=36af45d;29,9505;33;1
P6367;Prato de Embraiagem (125mm), 125mm for GY6, Kymco, Honda, Malaguti, 152QMI;  Pratos De Embraiagem;32,48;https://motoxpert.pt/web/image/product.template/9292/image?unique=36af45d;39,9504;33;1
P.22.0185;Corrente 530H, 48Elos/96L, ATV 250;  Correntes;23,58;https://motoxpert.pt/web/image/product.template/3346/image?unique=e08f8d5;29,0034;48;1
P.22.0184;Corrente 530H, 45Elos/90L, ATV 250;  Correntes;23,58;https://motoxpert.pt/web/image/product.template/3345/image?unique=e08f8d5;29,0034;48;1
P.30.0098;Corrente 520H / 56Elos/112L;  Correntes;20,33;https://motoxpert.pt/web/image/product.template/3344/image?unique=e08f8d5;25,0059;48;1
P.30.0096;Corrente 520H / 33L, CARTER GTR 250;  Correntes;12,2;https://motoxpert.pt/web/image/product.template/3343/image?unique=e08f8d5;15,006;48;1
P.30.0100;Corrente 420H 40Elos/80L, ATV 90/110 RAZER (ATV504-XP);  Correntes;12,2;https://motoxpert.pt/web/image/product.template/3341/image?unique=535b452;15,006;48;1
P.30.0099;Corrente 420H / 39L, ATV 90/110;  Correntes;12,2;https://motoxpert.pt/web/image/product.template/3340/image?unique=535b452;15,006;48;1
P.30.0070;Corrente 420H / 33L, ATV 90/110;  Correntes;12,2;https://motoxpert.pt/web/image/product.template/3339/image?unique=535b452;15,006;48;1
P1220;Corrente 420H DX / 110L (REFORÇADA) 420DX-110T (AZUL) YCF;  Correntes;15,45;https://motoxpert.pt/web/image/product.template/5614/image?unique=56654cf;19,0035;48;1
P1221;Corrente 420H DX / 110L (REFORÇADA) 420DX-110T (AMARELO) YCF;  Correntes;15,45;https://motoxpert.pt/web/image/product.template/5613/image?unique=db4f1ad;19,0035;48;1
P1222;Corrente 420H DX / 110L (REFORÇADA) 420DX-110T (VERDE) YCF;  Correntes;15,45;https://motoxpert.pt/web/image/product.template/5612/image?unique=ea32182;19,0035;48;1
P1223;Corrente 420H DX / 110L (REFORÇADA) 420DX-110T (VERMELHO) YCF;  Correntes;15,45;https://motoxpert.pt/web/image/product.template/5611/image?unique=f046dde;19,0035;48;1
P1224;Corrente 420H DX / 110L (REFORÇADA) 420DX-110T (LARANJA) YCF;  Correntes;15,45;https://motoxpert.pt/web/image/product.template/5610/image?unique=17da4bf;19,0035;48;1
